Port,Description,Protocol,Enabled,PortForwarding,ForwardAddress
80,Nginx HTTP (dify),TCP,1,0,
443,Nginx HTTPS (dify),TCP,1,0,
3210,lobeChat,TCP,1,0,
5140-5149,koishi,TCP,1,0,
8000,lobeChat-CASDOOR,TCP,1,0,
9000,lobeChat-MINIO1,TCP,1,0,
9200,cpolar,TCP,1,0,
3000,Napcat-1,TCP,1,0,
3001,Napcat-2,TCP,1,0,
5003,Dify Plugin Daemon (dify),TCP,1,0,
5033,SyncClipboard,TCP,1,0,
5300,Langbot,TCP,1,0,
6099,Napcat-3,TCP,1,0,
9001,lobeChat-MINIO2,TCP,1,0,
2280-2290,Langbot API Service Range,TCP,1,0,
2222,ssh,TCP,1,1,
